geonameid,name,latitude,longitude,feature code,country code,population
6359304,Madrid,40.48935,-3.68275,ADM3,ES,3233527
6356055,Barcelona,41.39942,2.12804,ADM3,ES,1620943
6362115,Valencia,39.45612,-0.35457,ADM3,ES,797028
6361046,Sevilla,37.39141,-5.95918,ADM3,ES,702355
6362983,Zaragoza,41.64829,-0.88303,ADM3,ES,679624
6359472,Málaga,36.75854,-4.39717,ADM3,ES,567433
6362997,Murcia,37.94399,-1.16364,ADM3,ES,441354
6533961,Palma de Mallorca,39.56951,2.64745,ADM3,ES,407648
6360186,Las Palmas de Gran Canaria,28.11654,-15.43898,ADM3,ES,382296
6362368,Bilbao,43.26035,-2.93341,ADM3,ES,351629
6355390,Alicante,38.35323,-0.48134,ADM3,ES,334678
6357216,Córdoba,37.90448,-4.77768,ADM3,ES,328841
6362308,Valladolid,41.6523,-4.72854,ADM3,ES,311501
6360254,Vigo,42.21549,-8.81206,ADM3,ES,297355
6359929,Gijón,43.52931,-5.67732,ADM3,ES,277733
6356131,l'Hospitalet de Llobregat,41.36578,2.11172,ADM3,ES,257057
6357300,A Coruña,43.37126,-8.4188,ADM3,ES,246146
6355286,Vitoria,42.84627,-2.67225,ADM3,ES,242223
6357709,Granada,37.18863,-3.59078,ADM3,ES,239017
6355441,Elche,38.26905,-0.70797,ADM3,ES,230587
6359947,Oviedo,43.35796,-5.87339,ADM3,ES,225973
6356051,Badalona,41.44826,2.24842,ADM3,ES,220977
6359521,Cartagena,37.604,-0.93397,ADM3,ES,216655
6356298,Terrassa,41.55876,2.01818,ADM3,ES,215678
6356935,Jerez de la Frontera,36.69687,-6.13277,ADM3,ES,211900
6356211,Sabadell,41.54878,2.10137,ADM3,ES,207938
6360638,Santa Cruz de Tenerife,28.53924,-16.20302,ADM3,ES,206965
6359316,Móstoles,40.30955,-3.90057,ADM3,ES,206031
6359231,Alcalá de Henares,40.4994,-3.34017,ADM3,ES,203924
6359284,Fuenlabrada,40.28854,-3.7973,ADM3,ES,198132
6359749,Pamplona,42.81276,-1.64432,ADM3,ES,197604
